id,block,registration_file,registration_commit,verdict,original_verdict_text,scored_in,counted_in_existing_64,note,kind,evidence,census_round
B4h-diag-0.9,Block 4 horizon extension,results/fixed_scale_horizon_prediction.md,cdfbf9d,,"Exploratory, no prediction: the 7 checkpoints placed at 0.9 after 4k (persistence to 64k, position vs branch modulo symmetries, own threshold). Reported: metastable mirror-branch basins, all persist to 64k, own thresholds 1.18-1.23x.",,no,,reported-no-criterion,results/fixed_scale_horizon_prediction.md:41-47; results/diagnose_below.md; paper/WRITER_INPUTS_v4.md:406-416,2026-09-24
B4h-critical-slowing,Block 4 horizon extension,results/fixed_scale_horizon_prediction.md,cdfbf9d,,Exploratory critical slowing (post hoc by registration). Reported: uninformative at the recorded 25-step resolution; implied offset ~1-2% vs observed 9.6%; no prospective design written.,,no,,reported-no-criterion,results/fixed_scale_horizon_prediction.md:49-55; paper/WRITER_INPUTS_v4.md:426-431; commit ae0e3a1,2026-09-24
own-validation,own-seed thresholds,results/own_threshold_prediction.md,312829f,,"Validation: certified branch and bound at both ends of the own bracket for 20 random Block 4 seeds, and 1d's certified thresholds where seeds overlap; 'reported as the fraction of brackets that agree' (no pass threshold, no stop condition). Reported: 13/20 certified at both ends, 7 with one end unresolved at 1e-9, 0 contradicted (19/20 at 1e-11, supplementary); fast search vs 1d: 40/40 overlap.",,no,"JUDGEMENT (kind): a registered validation, but without any pass threshold or stop condition, so no verdict; could be read as a validity gate PASS (0 contradicted).",reported-no-criterion,"results/own_threshold_prediction.md:30-34; results/own_threshold_validation.csv, own_threshold_validation_tight.csv; paper/WRITER_INPUTS_v4.md:461-465; commit 8a95f1d",2026-09-24
size-gate-validate400,sample size,results/sample_size_prediction.md,04e7668,PASS,"Stop and report if fewer than 45 of 50 brackets overlap 1d's at n = 400, a = 1.30. Scored: 50 of 50 overlap.",results/sample_size_validate400.csv,no,Enforced as a code gate by amendment 1 (07e1529); already met before the gate existed.,validity gate,"results/sample_size_prediction.md:47-52,77-78; results/sample_size_validate400.csv (50/50 True); paper/WRITER_INPUTS_v4.md:573",2026-09-24
size-gate-certify,sample size,results/sample_size_prediction.md,04e7668,PASS,"Stop and report if any certified status contradicts a bracket end (seeds 300,000-300,001, every cell). Scored: 0 contradictions (10/12 agree at both ends; 2 ends unresolved).",results/sample_size_certify.csv,no,Unresolved ends are not contradictions under the registered stop rule.,validity gate,"results/sample_size_certify.csv cols cert_lo, cert_hi, agrees; paper/WRITER_INPUTS_v4.md:574",2026-09-24
lag-gate-phi1,lag test,results/lag_test_prediction.md,bd8cb9c,PASS,"Stop and report unless phi = 1 reproduces the size test's n = 6,400 free-training runs exactly (all 100 runs; crossing step and |w2| bit-identical, exact parsing). Scored: 100 of 100 bit-identical.",paper/WRITER_INPUTS_v4.md:482,no,,validity gate,results/lag_test_prediction.md:41-46; paper/WRITER_INPUTS_v4.md:481-482; commit a9a8324 ('phi = 1 bit-identical on 100 runs'),2026-09-24
lag-gate-crossings,lag test,results/lag_test_prediction.md,bd8cb9c,PASS,At least 40 of 50 crossings per cell; fewer is reported as 'insufficient crossings' and not extended. Scored: 44-49 of 50 in every cell.,results/lag_test_cells.csv col sufficient,no,JUDGEMENT (kind): a sufficiency condition on each verdict cell rather than a stop condition; classed as a validity gate.,validity gate,"results/lag_test_prediction.md:38-39; results/lag_test_cells.csv cols n_crossed, sufficient (all True); paper/WRITER_INPUTS_v4.md:483",2026-09-24
lag-secondary-threshold,lag test,results/lag_test_prediction.md,bd8cb9c,,"'The residual is reported against both thresholds either way'; criteria are scored on the primary. With the init-selected branch threshold: L1 criteria pass, L2 criteria fail at both a.",,no,,reported-no-criterion,results/lag_test_prediction.md:65; results/lag_test_tests.csv rows 'init-selected branch'; paper/WRITER_INPUTS_v4.md:496,2026-09-24
lag-diagnostic,lag test,results/lag_test_prediction.md,bd8cb9c,,"Direct lag diagnostic, 'reported, no criterion' (the registration notes adiabatic lag predicts it shrinks with phi). Reported: median distance 0.0013 at phi = 0.25 vs 0.0050-0.0059 above (1.30); 0.0029 vs 0.012-0.015 (1.50); shrinks with phi.",,no,A stated expectation without a criterion; not scored.,reported-no-criterion,results/lag_test_prediction.md:88-93; results/lag_test_diagnostics.csv; paper/WRITER_INPUTS_v4.md:502-506,2026-09-24
lag-confounds,lag test,results/lag_test_prediction.md,bd8cb9c,,"Confound checks reported per phi beside the verdicts. Reported: mirror share stable (50-57%); plateau time shifts materially (median 1,309/1,691 steps at phi = 0.25 down to 0 at phi = 2).",,no,,reported-no-criterion,results/lag_test_prediction.md:95-101; results/lag_test_confounds.csv; paper/WRITER_INPUTS_v4.md:507-517,2026-09-24
lag2-gate-phi1,lag test 2 (deconfounded),results/lag_test2_prediction.md,38e0cf7,PASS,"phi = 1 continuations must reproduce the original runs bit for bit (crossing step and |w2|, exact parsing, every continued run); stop if not. Scored: 192 of 192 under both rules.",results/lag_test2_prediction.md:114-115,no,,validity gate,"results/lag_test2_prediction.md:50-54,114-115; paper/WRITER_INPUTS_v4.md:536",2026-09-24
lag2-gate-crossings,lag test 2 (deconfounded),results/lag_test2_prediction.md,38e0cf7,PASS,At least 40 crossings per cell; fewer is reported as insufficient and not extended. Scored: 48 crossings in every verdict cell.,results/lag_test2_prediction.md:121,no,"JUDGEMENT (kind): sufficiency condition, classed as a validity gate (as lag-gate-crossings).",validity gate,"results/lag_test2_prediction.md:28,116-121; results/lag_test2_tests.csv col all_cells_sufficient (primary rows True)",2026-09-24
lag2-beside,lag test 2 (deconfounded),results/lag_test2_prediction.md,38e0cf7,,"Reported beside the verdicts, no criterion: plateau re-entry after the switch ('should be near zero'), mirror share, direct lag diagnostic. Reported: no re-entry in any cell; branch + 54.2% at every phi and a; diagnostic shrinks in the same small proportion as the residual.",,no,,reported-no-criterion,"results/lag_test2_prediction.md:42-48,146-154",2026-09-24
lag2-tstar-strata,lag test 2 (deconfounded),results/lag_test2_prediction.md,38e0cf7,,"Amendment 1: t* rule and plateau strata reported with the L1'/L2' criteria, no verdict. Reported: t* residual at phi = 0.25 0.71%/1.64% (L1' criteria would pass, L2' fail); strata < 40 crossings per cell, insufficient; primary-rule strata fail both.",,no,Labelled post hoc reading (lag_test2_prediction.md:173-184) is not a registered conclusion.,reported-no-criterion,"results/lag_test2_prediction.md:94-97,156-171; results/lag_test2_tests.csv rows role 'reported'",2026-09-24
c1-competing,c1 first order,results/first_order_prediction.md,f92b1b5,,"Competing values 'each reported as excluded or not by C': 0.49, -0.377, 0.662, 0. Reported: all four excluded.",,no,,reported-no-criterion,"results/first_order_prediction.md:41-45,145-149; results/first_order_scores.csv cols excludes_*",2026-09-24
c1-supplementary,c1 first order,results/first_order_prediction.md,ada4388,,"Supplementary branch-root analysis (committed before the registered result; 'No verdict attaches to it'). Reported: Krawczyk-certified switch at a = 1.01-1.04; implied feasible c1 [0.284596, 0.285895] contains the prediction; competing values outside.",,no,,reported-no-criterion,"results/first_order_prediction.md:65-86,157-174; results/first_order_supplementary_scores.csv",2026-09-24
c1-ghat-crosscheck,c1 first order,results/first_order_prediction.md,3430af4,,"Supplementary cross-check of Ghat(a) by the rescaled certified search, reported beside the registered Ghat. Reported: agrees at a = 1.02-1.04 (nested upper bounds, exclusions closed); at a = 1.01 identical by construction (amendment 2), not a cross-check.",,no,,reported-no-criterion,"results/first_order_prediction.md:96-106,176-179; results/first_order_ghat_rescaled.csv",2026-09-24
pown-Searly-lead,prospective own-seed,results/prospective_own_prediction.md,2758622,,"S-early lead time, 'reported in steps and in R (median and minimum)', no criterion. Reported: median 2,250 steps (min 450) at 1.30; 1,000 (min 100) at 1.50.",,no,,reported-no-criterion,"results/prospective_own_prediction.md:213-214,284-286; results/prospective_own_early_scores.csv cols lead_*",2026-09-24
pown-S-mix,prospective own-seed,results/prospective_own_prediction.md,2758622,,"S-mix weighted mixture (fitted, labelled): 'No pass criterion' (base-window expectations stated). Reported: mean per-setting |log err| 0.0616 (1.30) / 0.1112 (1.50), x(1+r) 0.0321 / 0.0501; better than U, worse than C at both a.",,no,Writer inputs: do not say S-mix passed.,reported-no-criterion,"results/prospective_own_prediction.md:177-193,292-301; results/prospective_own_mixture_scores.csv; paper/WRITER_INPUTS_v4.md:669,677",2026-09-24
pown-sensitivity,prospective own-seed,results/prospective_own_prediction.md,e149370,,Registered sensitivity analysis: non-crossers included at their final R (a bound) and every comparison recomputed. Reported: every comparison passes again at both a.,,no,"JUDGEMENT (kind): registered as a sensitivity analysis of P1-P4 with no separate verdict rule, so not counted. Alternative: 8 more PASS rows.",reported-no-criterion,"results/prospective_own_prediction.md:54-55,264-266; results/prospective_own_scores.csv rows 'sensitivity (non-crossers at their final R)'",2026-09-24
pown-spearman,prospective own-seed,results/prospective_own_prediction.md,e149370,,"'Also reported': Spearman rho(R_cross, R_own) per setting, against S3's ~0.88. Reported: 0.757-0.863 (1.30), 0.574-0.822 (1.50).",,no,,reported-no-criterion,"results/prospective_own_prediction.md:104-106,268-271",2026-09-24
pown-per-setting,prospective own-seed,results/prospective_own_prediction.md,e149370,,"Target 2 (per setting, secondary): |log(median R_cross / median pred)| 'Reported, with no criterion'; per-setting median errors for all four predictors.",,no,,reported-no-criterion,"results/prospective_own_prediction.md:79,272-279; results/prospective_own_settings_scored.csv",2026-09-24
pown-gate-validation,prospective own-seed,results/prospective_own_prediction.md,e149370,PASS,"Validation before training: certified branch and bound at both bracket ends, seeds 400,000-400,002 in every setting; stop if any certified status contradicts a bracket end (unresolved reported). Scored: 48 runs x 2 ends, 0 contradictions (lower ends 42 minus / 6 unresolved; upper 43 plus / 5 unresolved).",results/prospective_own_prediction.md:239,no,Enforced as gate_validation by amendment 1 (07e1529).,validity gate,"results/prospective_own_prediction.md:72-74,239-248; results/prospective_own_validation.csv col contradiction (48 False); commit 44f3031",2026-09-24
pown-gate-hash,prospective own-seed,results/prospective_own_prediction.md,07e1529,PASS,"Predictions file and SHA-256 committed before any training; gate_hash halts validate, train and score on mismatch (amendment 1). Scored: gate_hash passed at validate, train and score; frozen in 44f3031.",results/prospective_own_prediction.md:234-238,no,"Disclosed sequencing: the git commit followed validate rather than preceding it (hash recorded by predict, still matched); committed before any training as amendment 1 requires. Gate added by amendment 1, so registration_commit = 07e1529 (the requirement to commit the hash before training is in e149370).",validity gate,"results/prospective_own_prediction.md:7,146-149,234-238; results/prospective_own_predictions.sha256",2026-09-24
4b-gate-control,Block 4b (residual mechanism),results/residual_mechanism_design.md,cf1cdf7,PASS,Control arm reproduces the lag test's phi = 1 continuation bit for bit.,,no,,validity gate,residual_mechanism_checks.csv,2026-09-25
4b-gate-excluded,Block 4b (residual mechanism),results/residual_mechanism_design.md,cf1cdf7,PASS,Excluded runs (teleport itself placed) <= 10% at each a; stop otherwise. Scored: 0 of 48 at each a.,,no,,validity gate,residual_mechanism_checks.csv,2026-09-25
4b-gate-branch,Block 4b (residual mechanism),results/residual_mechanism_design.md,cf1cdf7,PASS,Stop if a teleport changes the mirror branch or does not land on the branch minimiser. Never fired.,,no,,validity gate,residual_mechanism_parts.csv,2026-09-25
4b-gate-crossings,Block 4b (residual mechanism),results/residual_mechanism_design.md,cf1cdf7,PASS,At least 40 crossings per arm. Scored: 48/48 per arm at each a.,,no,,validity gate,residual_mechanism_scores.csv,2026-09-25
4b-teleport-reset,Block 4b (residual mechanism),results/residual_mechanism_design.md,cf1cdf7,,"Teleport + reset: reported with no criterion. 3.122% (a = 1.30), 6.601% (a = 1.50).",,no,,"reported, no criterion",residual_mechanism_scores.csv,2026-09-25
sl-gate-validation,scale limits (width 2),results/scale_limits_prediction.md,d9e3ec4,PASS,"Width-2 search validation: max dmu equals the bound a|D*| to 2e-13; ladder 500->2,000 unchanged; independent CMA-ES not above; sine-only check to 1e-14.",,no,,validity gate,scale_limits_width2.csv,2026-09-25
tanh-gate-validation,scale limits (width 2),results/scale_limits_tanh_prediction.md,85123ca,PASS,"Ladder, independent search and analytic tie pass at every box A = 5-40.",,no,,validity gate,scale_limits_tanh.csv,2026-09-25
sl-direct-check,scale limits (width 2),results/scale_limits_prediction.md,ef2a9b6,,"Direct check of the width-2 verdict at R2 = 0.001, 0.003, 0.01, 0.02 (both a): placed at every scale confirms it; unplaced at any scale means the verdict is wrong. PENDING: 2 of 8 scales scored, both placed (the cancelling pair).",,no,,"pending (registered, not yet scored)",width2_finish_summary.csv,2026-09-25
nogating,width 2 no-gating test,results/width2_nogating_design.md,a525cc3,,"No gating (placed fraction >= 0.90, CP lower >= 0.80 at every held scale) vs gating at small scale; width-1 positive control. PENDING: not run (waits for the direct check).",,no,,"pending (registered, not yet scored)",width2_nogating_design.md,2026-09-25
w2-design-W0-W4,width 2 (Route A design),results/width2_design.md,1c2593c,,"W0-W4 and the tanh criterion were approved in the design but never registered (the design registers them with frozen thresholds at its step 5, which the small-scale verdict made moot). Not applicable at width 2 (no threshold); not counted.",,no,,"designed, never registered",width2_design.md; scale_limits_prediction.md,2026-09-25
