id,block,registration_file,registration_commit,verdict,original_verdict_text,scored_in,counted_in_existing_64,note,census_round,changed_from,verdict_status,non_directional,scoring,prediction_id
P-margin,Arrhenius 08-27,results/arrhenius_prediction.md,6be69dc,PASS,PASS: advantage magnitude changes >1.5x with budget (observed 4.98x within-experiment),results/registered_predictions.md:67,yes,,2026-09-23,,as previously scored,False,registered rule,P-margin
P-no-flip-GELU,Arrhenius 08-27,results/arrhenius_prediction.md,6be69dc,PASS,PASS: GELU leads ReLU at both ends; flip specific to one pair,results/registered_predictions.md:68,yes,,2026-09-23,,as previously scored,False,registered rule,P-no-flip-GELU
P-null,Arrhenius 08-27,results/arrhenius_prediction.md,6be69dc,UNRESOLVED,PASS: registered null excluded,results/registered_predictions.md:69,yes,"DISCREPANCY: geometric_transfer.md:1-41 says the SGD ratio test ""did not execute"" and ""no ratio was measured"" (q0.667 never solves). The row says PASS ""registered null excluded""; no source for that was found. Arguably UNRESOLVED.",2026-09-23,PASS,"CORRECTED 2026-09-23: geometric_transfer.md:1-41: the test did not execute and no ratio was measured, so the registered null was not excluded",False,registered rule,P-null
P-obj1,Arrhenius 08-27,results/arrhenius_prediction.md,6be69dc,UNRESOLVED,unresolved: objection-1 variant not separately scored,results/registered_predictions.md:70,yes,,2026-09-23,,as previously scored,False,registered rule,P-obj1
P-onset-law,early census 08-23 (basin),results/basin_prediction.md,e15067b,PASS,"PASS: measured onset exponent -0.7340 within +-0.15 of -2*alpha/3 registered band [-0.895,-0.595]",results/registered_predictions.md:71,yes,,2026-09-23,,as previously scored,False,registered rule,P-onset-law
P-ratio,Arrhenius 08-27,results/arrhenius_prediction.md,6be69dc,FAIL,FAIL: sheet-thickness/step ratio does not order findability,results/registered_predictions.md:72,yes,"This is the first P-ratio (arrhenius_prediction.md:42, sheet thickness/step). A second, different prediction reuses the code P-ratio (arrhenius_prediction.md:515, SGD exponent ratio); recorded separately as P-ratio(1b).",2026-09-23,,as previously scored,False,registered rule,P-ratio
P-stall,Arrhenius 08-27,results/arrhenius_prediction.md,6be69dc,PASS,"PASS: stallers identified at loss log 2, the constant-predictor saddle",results/registered_predictions.md:73,yes,,2026-09-23,,as previously scored,False,registered rule,P-stall
P-step,Arrhenius 08-27,results/arrhenius_prediction.md,6be69dc,FAIL,FAIL: largest Adam step is best — opposite to the registered direction,results/registered_predictions.md:74,yes,,2026-09-23,,as previously scored,False,registered rule,P-step
P-1a,Arrhenius 08-27,results/arrhenius_prediction.md,6be69dc,FAIL,FAIL: gradient-flow route for Adam: implies alpha=0.48 against measured alpha~1,results/registered_predictions.md:75,yes,"Dated 2026-09-05 in the row; lives in arrhenius_prediction.md, which was first added 2026-08-27.",2026-09-23,,as previously scored,False,registered rule,P-1a
P-1b,Arrhenius 08-27,results/arrhenius_prediction.md,6be69dc,UNRESOLVED,unresolved: superseded by P-1a s falsification before it could be scored,results/registered_predictions.md:76,yes,"Dated 2026-09-05 in the row; lives in arrhenius_prediction.md, which was first added 2026-08-27.",2026-09-23,,as previously scored,False,registered rule,P-1b
P-1c,Arrhenius 08-27,results/arrhenius_prediction.md,6be69dc,FAIL,"FAIL: risky SGD prediction alpha_SGD=0.479 band [0.38,0.58]; measured 0.719",results/registered_predictions.md:77,yes,"Dated 2026-09-05. Its dependent SGD onset prediction (-0.319, band [-0.42,-0.22]) is recorded separately as P-1c-onset.",2026-09-23,,as previously scored,False,registered rule,P-1c
P-mnist-2a,MNIST budget law 09-11,results/mnist_budget_law_prediction.md,4a42ff3,FAIL,"FAIL: control failed: monotonic never fails where non-monotonic succeeds; width-1 ordering reverses, p=0.0002",results/registered_predictions.md:78,yes,,2026-09-23,,as previously scored,False,registered rule,P-mnist-2a
P-mnist-2b,MNIST budget law 09-11,results/mnist_budget_law_prediction.md,4a42ff3,UNRESOLVED,"unresolved: not run — gated on 2a, which failed",results/registered_predictions.md:79,yes,"Gated on 2a, which failed.",2026-09-23,,as previously scored,False,registered rule,P-mnist-2b
P-collapse,collapse 09-12,results/collapse_prediction.md,5db244b,FAIL,"FAIL: factor-2 collapse selectivity not met (1.82x/1.63x after the 2026-09-13 artifact correction; was 1.62x/1.48x); curves sharpen rather than translate (`k ~ B^0.777`, 16-fold)",results/registered_predictions.md:80,yes,Item 1 per-family and pooled sub-parts are folded into this row. The Item 1/Item 2 linkage prediction is recorded separately as collapse-link.,2026-09-23,,as previously scored,False,registered rule,P-collapse
P-heldout,collapse 09-12,results/collapse_prediction.md,5db244b,FAIL,"FAIL: predicted eps 0.01872 [0.01403,0.02497] at 128k; measured 0.030, outside, +60.3%",results/registered_predictions.md:81,yes,"Constructed-family repeat (q2) was ""not reported as a test"" (collapse_results.md:186-192); treated as a sub-part and not counted separately.",2026-09-23,,as previously scored,False,registered rule,P-heldout
P-threshold,collapse 09-12,results/collapse_prediction.md,5db244b,PASS,"PASS (upgraded 2026-09-13): all three levels overlap and contain -0.7340: -0.6581 (4/6), -0.7367 (6/6), -0.7487 (5/6). The earlier PARTIAL rested on a 25% value of -0.5037 that was a transcription error in the artifact, found by end-to-end regeneration",results/registered_predictions.md:82,yes,Row says PASS (upgraded 2026-09-13) after the transcription error was corrected (collapse_results.md:229). The file's own Totals still say PARTIAL 1.,2026-09-23,,as previously scored,False,registered rule,P-threshold
A5d-k10-A1,A5d k=10,results/blockA5d_prediction.md,3a75e54,PASS,passes; no information (0 of 160; nothing is perfect anywhere),results/REGISTERED_PREDICTIONS_TABLE.md:183,yes,A1 pass carries no information.,2026-09-23,,as previously scored,False,registered rule,A5d-k10-A1
A5d-k10-A2,A5d k=10,results/blockA5d_prediction.md,3a75e54,FAIL,FAIL: no onset at any budget,results/REGISTERED_PREDICTIONS_TABLE.md:184,yes,,2026-09-23,,as previously scored,False,registered rule,A5d-k10-A2
A5d-k10-A3,A5d k=10,results/blockA5d_prediction.md,3a75e54,UNRESOLVED,undecidable,results/REGISTERED_PREDICTIONS_TABLE.md:185,yes,,2026-09-23,,as previously scored,False,registered rule,A5d-k10-A3
A5d-k10-A4,A5d k=10,results/blockA5d_prediction.md,3a75e54,FAIL,"FAIL: 0 of 20 at a=3.0, 64k",results/REGISTERED_PREDICTIONS_TABLE.md:186,yes,,2026-09-23,,as previously scored,False,registered rule,A5d-k10-A4
A5d-k10-A5,A5d k=10,results/blockA5d_prediction.md,3a75e54,UNRESOLVED,undecidable (gamma undefined),results/REGISTERED_PREDICTIONS_TABLE.md:187,yes,,2026-09-23,,as previously scored,False,registered rule,A5d-k10-A5
A5d-k1-A1,A5d k=1,results/blockA5d_k1_prediction.md,68c4e5d,PASS,"PASS, informative (0 of 160; min uniform errors 22)",results/REGISTERED_PREDICTIONS_TABLE.md:195,yes,"Registered again, unchanged, from blockA5d_prediction.md. Scored as a fresh registration.",2026-09-23,,as previously scored,False,registered rule,A5d-k1-A1
A5d-k1-A2,A5d k=1,results/blockA5d_k1_prediction.md,68c4e5d,FAIL,"FAIL, stop condition (max perfect fraction 0.35 at a=3.0)",results/REGISTERED_PREDICTIONS_TABLE.md:196,yes,"Registered again, unchanged, from blockA5d_prediction.md. Scored as a fresh registration.",2026-09-23,,as previously scored,False,registered rule,A5d-k1-A2
A5d-k1-A3,A5d k=1,results/blockA5d_k1_prediction.md,68c4e5d,UNRESOLVED,undecidable,results/REGISTERED_PREDICTIONS_TABLE.md:197,yes,"Registered again, unchanged, from blockA5d_prediction.md. Scored as a fresh registration.",2026-09-23,,as previously scored,False,registered rule,A5d-k1-A3
A5d-k1-A4,A5d k=1,results/blockA5d_k1_prediction.md,68c4e5d,PASS,PASS: 7 of 20,results/REGISTERED_PREDICTIONS_TABLE.md:198,yes,"Registered again, unchanged, from blockA5d_prediction.md. Scored as a fresh registration.",2026-09-23,,as previously scored,False,registered rule,A5d-k1-A4
A5d-k1-A5,A5d k=1,results/blockA5d_k1_prediction.md,68c4e5d,UNRESOLVED,not evaluable (gamma undefined),results/REGISTERED_PREDICTIONS_TABLE.md:199,yes,"Registered again, unchanged, from blockA5d_prediction.md. Scored as a fresh registration.",2026-09-23,,as previously scored,False,registered rule,A5d-k1-A5
C-AdamvAdamW,C,results/blockC_equivalence_prediction.md,97ad350,PASS,"equivalent; registered expectation equivalent, met",results/REGISTERED_PREDICTIONS_TABLE.md:205,yes,,2026-09-23,,as previously scored,False,registered rule,C-AdamvAdamW
C-AdamvSGD,C,results/blockC_equivalence_prediction.md,97ad350,FAIL,"equivalent; registered expectation not equivalent/inconclusive: failed, favourable",results/REGISTERED_PREDICTIONS_TABLE.md:206,yes,,2026-09-23,,as previously scored,False,registered rule,C-AdamvSGD
C-AdamWvSGD,C,results/blockC_equivalence_prediction.md,97ad350,FAIL,"equivalent; registered expectation not equivalent/inconclusive: failed, favourable",results/REGISTERED_PREDICTIONS_TABLE.md:207,yes,,2026-09-23,,as previously scored,False,registered rule,C-AdamWvSGD
X1,cross-family,results/crossfamily_prediction.md,a649e31,FAIL,"FAIL (stays failed): R_glob 6/6, R_solve 0/6",results/REGISTERED_PREDICTIONS_TABLE.md:213,yes,,2026-09-23,,as previously scored,False,registered rule,X1
X2,cross-family,results/crossfamily_prediction.md,a649e31,PASS,PASS: q1 differs from A on R_glob 6/6,results/REGISTERED_PREDICTIONS_TABLE.md:214,yes,,2026-09-23,,as previously scored,False,registered rule,X2
Y1,cross-family,results/crossfamily_followup_prediction.md,23ccd38,PASS,"PASS: R_glob 4/4, R_solve 4/4 (X1 unchanged)",results/REGISTERED_PREDICTIONS_TABLE.md:220,yes,,2026-09-23,,as previously scored,False,registered rule,Y1
Z1,cross-family,results/crossfamily_q1control_prediction.md,eb66cb4,PASS,"PASS: q1 differs by +35-36 steps on R_glob and +5 on R_solve, 4/4",results/REGISTERED_PREDICTIONS_TABLE.md:221,yes,"The q1 control gate at a=1.30 (diff 2e-8) is a validity gate, not a prediction.",2026-09-23,,as previously scored,False,registered rule,Z1
E-1,E,results/blockE_redesign.md,4abecfa,PASS,PASS: hold_low 0 of 37 kept,results/REGISTERED_PREDICTIONS_TABLE.md:12,no,First registered as down-hold-low in blockF_lag_prediction.md:162; restated in blockE_redesign.md:62. Also covers phase2b_across_a_prediction.md §4. Registration file = the restatement; original commit f94541a.,2026-09-23,,as previously scored,False,registered rule,E-1
E-2,E,results/blockE_redesign.md,4abecfa,FAIL,"Previously scored PASS in REGISTERED_PREDICTIONS_TABLE.md:13 (33 of 37 kept, 0.892)",results/REGISTERED_PREDICTIONS_TABLE.md:13,no,"CORRECTED: registered ""placement KEPT, >= 9/10"" (blockE_redesign.md:63), with falsifier ""hold_high loses it in more than 1 of 10 seeds"" (blockE_redesign.md:72-74). Measured 33/37 = 0.892 < 0.9 (4/37 = 10.8% lost), so FAIL as registered. First registered as down-hold-high in blockF_lag_prediction.md:163.",2026-09-23,PASS,"CORRECTED 2026-09-23: 33/37 = 0.892 kept < registered >= 9/10; lost in 4/37 > 1 of 10 (blockE_redesign.md:63,72-74); wi_e2_rescore.csv",False,registered rule,E-2
E-3,E,results/blockF_lag_prediction.md,f94541a,PASS,PASS: noise_floor 37 of 37; Fisher vs hold_high p=0.115,results/REGISTERED_PREDICTIONS_TABLE.md:14,no,Registered as null arm (blockF_lag_prediction.md:158); restated in blockE_redesign.md:61.,2026-09-23,,as previously scored,False,registered rule,E-3
E-4,E,results/blockF_lag_prediction.md,f94541a,FAIL,FAIL: cold_high placement 2 of 40 (pilot 0 of 9),results/REGISTERED_PREDICTIONS_TABLE.md:15,no,"freeze-high (blockF_lag_prediction.md:160). The later revision to ""never placed"" (blockE_redesign.md:65) is post hoc and not scored. Also covers phase2b_across_a_prediction.md:115 (item 4.3, frozen between 0.233 and the solve threshold places).",2026-09-23,,as previously scored,False,registered rule,E-4
E-5,E,results/blockF_lag_prediction.md,f94541a,FAIL,FAIL (opposite direction): jump 9 of 40 vs control 37 of 40,results/REGISTERED_PREDICTIONS_TABLE.md:16,no,"blockF_lag_prediction.md:161; also covers phase2b_across_a_prediction.md:110-112 (item 4.1, scaled runs place within 500 steps).",2026-09-23,,as previously scored,False,registered rule,E-5
E-cold_low,E,results/blockF_lag_prediction.md,f94541a,PASS,cold_low 0/40 placed,results/blockE_results.md:47,no,"freeze-low ""placement never achieved"" (blockF_lag_prediction.md:159; blockE_redesign.md:64; phase2b_across_a_prediction.md:113 item 4.2). Not in REGISTERED_PREDICTIONS_TABLE.md. Measured cold_low 0/40 placed. blockE_redesign.md:81-84 says only the prospective pair ""is scored as a registered test"", but this arm was registered before the pilot.",2026-09-23,,"SCORED IN CENSUS 2026-09-23 (post hoc scoring against the registered criterion; judgement call, see note)",False,post hoc (census),E-cold_low
E-stall-jump,E-stall,results/blockE_stall_prediction.md,f9ffb92,FAIL,SATURATION (S-A fully satisfied); registered expectation TRAPPING wrong,results/REGISTERED_PREDICTIONS_TABLE.md:41,no,"One registered expectation (TRAPPING), scored per arm (two rows). Count as one if you treat it as a single prediction.",2026-09-23,,as previously scored,False,registered rule,E-stall-jump
E-stall-cold_high,E-stall,results/blockE_stall_prediction.md,f9ffb92,FAIL,MIXED (neither S-A nor S-B); registered expectation TRAPPING wrong,results/REGISTERED_PREDICTIONS_TABLE.md:42,no,See E-stall-jump.,2026-09-23,,as previously scored,False,registered rule,E-stall-cold_high
H-1,H,results/blockH_rate_prediction.md,5cb7a87,UNRESOLVED,"observed, but not a valid test (H-3 gate failed)",results/REGISTERED_PREDICTIONS_TABLE.md:70,no,,2026-09-23,,as previously scored,False,registered rule,H-1
H-2,H,results/blockH_rate_prediction.md,5cb7a87,UNRESOLVED,"observed, same caveat (not a valid test)",results/REGISTERED_PREDICTIONS_TABLE.md:71,no,,2026-09-23,,as previously scored,False,registered rule,H-2
H-3,H,results/blockH_rate_prediction.md,5cb7a87,FAIL,"FAIL: validity gate, m=1 0.500 vs control 0.925",results/REGISTERED_PREDICTIONS_TABLE.md:69,no,,2026-09-23,,as previously scored,False,registered rule,H-3
F-1,F,results/blockF_lag_prediction.md,f94541a,UNRESOLVED,"no power (ordering holds, P(full ordering)=0.290 vs 0.167 by chance)",results/REGISTERED_PREDICTIONS_TABLE.md:93,no,,2026-09-23,,as previously scored,False,registered rule,F-1
F-2,F,results/blockF_lag_prediction.md,f94541a,FAIL,FAIL: SGD misses by 6.19 pp,results/REGISTERED_PREDICTIONS_TABLE.md:94,no,,2026-09-23,,as previously scored,False,registered rule,F-2
F-3,F,results/blockF_lag_prediction.md,f94541a,PASS,"PASS, but confounded (Spearman +0.7827)",results/REGISTERED_PREDICTIONS_TABLE.md:95,no,,2026-09-23,,as previously scored,False,registered rule,F-3
D-1,F,results/blockF_lag_prediction.md,f94541a,UNRESOLVED,vacuous: M-spin and M-glob identical once R_spin = R_glob (T60),results/BLOCK_STATUS.md:52,no,"Registered expected outcome was ""neither will be distinguished"" (blockF_lag_prediction.md:116). blockE_window_refinement.md:57-60.",2026-09-23,,as previously scored,False,registered rule,D-1
G-1,G,results/blockG_prediction.md,a017982,FAIL,FAIL as written: 6 of 10 within 15%,results/REGISTERED_PREDICTIONS_TABLE.md:106,no,Post hoc per-a normalisation is not a rescue.,2026-09-23,,as previously scored,False,registered rule,G-1
G-2,G,results/blockG_prediction.md,a017982,PASS,PASS at both a,results/REGISTERED_PREDICTIONS_TABLE.md:107,no,,2026-09-23,,as previously scored,False,registered rule,G-2
G-3,G,results/blockG_prediction.md,a017982,PASS,PASS: G2_narrow < base < G1_wide at both a,results/REGISTERED_PREDICTIONS_TABLE.md:108,no,,2026-09-23,,as previously scored,False,registered rule,G-3
G-3b,G,results/blockG_g3_correction.md,ec1b755,FAIL,FAIL (my error): G3_far_outer >= base wrong by a provable inequality,results/REGISTERED_PREDICTIONS_TABLE.md:109,no,"Sub-claim of G-3 registered in blockG_prediction.md (a017982); its failure is recorded in blockG_g3_correction.md, which adds no new prediction.",2026-09-23,,as previously scored,False,registered rule,G-3b
G-4,G,results/blockG_prediction.md,a017982,PASS,"PASS: 5 of 5, worst 0.808%",results/REGISTERED_PREDICTIONS_TABLE.md:110,no,,2026-09-23,,as previously scored,False,registered rule,G-4
K-1,K,results/blockK_prediction.md,04a3843,PASS,PASS: beta_B = 1.000000,results/REGISTERED_PREDICTIONS_TABLE.md:148,no,,2026-09-23,,as previously scored,False,registered rule,K-1
K-2,K,results/blockK_prediction.md,04a3843,PASS,"PASS: overshoot falls 7.99-8.00x, stays > 10x",results/REGISTERED_PREDICTIONS_TABLE.md:149,no,,2026-09-23,,as previously scored,False,registered rule,K-2
K-2b,K,results/blockK_prediction.md,04a3843,FAIL,"FAIL (my arithmetic): ""roughly 115-145x"" vs 11.8-145x",results/REGISTERED_PREDICTIONS_TABLE.md:150,no,Numeric sub-claim of K-2.,2026-09-23,,as previously scored,False,registered rule,K-2b
K-3,K,results/blockK_prediction.md,04a3843,FAIL,FAIL -> claim removed (margin 0.0089 < 0.10),results/REGISTERED_PREDICTIONS_TABLE.md:151,no,,2026-09-23,,as previously scored,False,registered rule,K-3
K-4,K,results/blockK_prediction.md,04a3843,PASS,PASS (structurally cannot move),results/REGISTERED_PREDICTIONS_TABLE.md:152,no,,2026-09-23,,as previously scored,False,registered rule,K-4
interleaved-1,interleaved 08-05,results/interleaved_predictions.md,3e59f54,UNRESOLVED,"Not scored; collisions(F) empty, so the F-not-G test is ""vacuous ... cannot be tested on trained weights""",results/interleaved_quantization.md:43-64,no,"Predicted F-not-G violations, if any, at the final layer and at coarse precision. Never adjudicated. Divergence (a different quantity) was final-layer, and between-class only at fixed-4 (interleaved_quantization.md:108-115).",2026-09-23,,as previously scored,False,registered rule,interleaved-1
interleaved-2,interleaved 08-05,results/interleaved_predictions.md,3e59f54,UNRESOLVED,Not scored; zero between-class F-not-G count holds only vacuously (empty F-collision set),results/interleaved_quantization.md:43-64,no,Predicted a zero between-class count as the structurally expected outcome. Framed as an interpretation rule rather than a falsifiable prediction.,2026-09-23,,as previously scored,False,registered rule,interleaved-2
corr-1,corrugation 08-06,results/corrugation_prediction.md,edda09a,FAIL,NOT BORNE OUT: fold layer 1 in all 34 separating runs,results/corrugation_results.md:18,no,Restated unchanged in corrugation_readings_prediction.md:132 (not counted twice). Dense restatement (corrugation_results.md:79-93) reopened strong corrugation; CLAIMS.md:25 (T10) closes it again: all 11 dense-verified runs fold at layer 1.,2026-09-23,,as previously scored,False,registered rule,corr-1
corr-2,corrugation 08-06,results/corrugation_prediction.md,edda09a,FAIL,"Outcome of prediction 2: not borne out (at-chance fraction fell ~5 pts, not substantially)",results/corrugation_prediction.md:79-92,no,ReLU at-chance fraction should fall substantially under the author protocol. Outcome appended in the registration file itself.,2026-09-23,,as previously scored,False,registered rule,corr-2
corrR-2,corrugation readings 08-22,results/corrugation_readings_prediction.md,a80c78f,PASS,"BORNE OUT: 0 monotonic separations in 1,890 corrugated width-3 runs",results/corrugation_results.md:95,no,,2026-09-23,,as previously scored,False,registered rule,corrR-2
corrR-3,corrugation readings 08-22,results/corrugation_readings_prediction.md,a80c78f,PASS,"BORNE OUT, more sharply (tail-confined advantage)",results/corrugation_results.md:117,no,CLAIMS.md:30 (T15) qualifies it: bulk medians and tail direction stand; the floor-movement part is retracted; tail counts are sample-level.,2026-09-23,,as previously scored,False,registered rule,corrR-3
loc-1,localization 08-22,results/localization_prediction.md,0792e39,PASS,borne out (failure localizes at layer 1),results/localization_results.md:75,no,,2026-09-23,,as previously scored,False,registered rule,loc-1
